article_type.code;article.code;article.description;article.commentaire;article.collection
C;BIL233152N/BIL;KERASTASE ELIXIR ULTIME OLEO COMPLEXE- G13- 0.8%SH;12061056N;1
C;BIL233358D/BIL;CLEAR TOTAL CARE - 5 - 0,7% SHAMPOO;12062747D;1
C;BIL233363H/PCH;PINK SUGAR GLITTER MAESA - F10 - 0.6% SHAMPOO;12061744H;1
C;BIL233373BD/BIL;CHLOE LYCHEE- 56 - 0.4% SHAMPOO;12061046BD;1
C;BIL233482B/BIL;ROSE IRON ECOCERT - A3 - 0.4% SHAMPOO;12061284B;1
C;BIL233482D/BIL;ROSE IRON ECOCERT - 5 - 1% SHOWER GEL;12061284D;1
C;BIL233483/BIL;FRAISE - 1 - 1% SHOWER GEL ECOCERT;12061793;1
C;BIL233483A/BIL;FRAISE - 2 - 1% SHOWER GEL ECOCERT;12061793A;1
C;BIL233532N/BIL;VANILLE DELICE - A14 - 0.6% SHAMPOO;12061333N;1
C;BIL233594C/BIL;H&S CLASSIC - 4 - 0.4% SHAMPOO;12060949C;1
C;BIL233594D/BIL;H&S CLASSIC - 5 - 0.8% SHAMPOO;12060949D;1
C;BIL233705G/BIL;KARITE & HUILE D'ARGAN - 8 - 0.4% SHAMPOO;12060853G;1
C;BIL233707AA/BIL;ORANGE MOJITO - W28 - 0.6% SHAMPOO;12061491AA;1
C;BIL233780I/BIL;POIRE WILLIAM - D10 - 1% SHOWER GEL ECOCERT;12061133I;1
C;BIL234016/BIL;BLUE CHAMOMILLE - 1 - 1% SHOWER GEL;12061925;1
C;BIL234017/BIL;LINDEN COTTON - 1 - 1% SHOWER GEL;12061974;1
C;BIL234255/BIL;MANGUE - 1 - 1% SHOWER GEL ECOCERT;12061965;1
C;BIL234255C/BIL;MANGUE - B4 - 1% SHOWER GEL ECOCERT;12061965C;1
C;BIL234344D/BIL;OLIVE AND GINGKO - 5 - 0.4% SHAMPOO;12060828D;1
C;BIL234465A/BIL;PANTENE EUROPE - 1 - 0.4% SHAMPOO;12061381A;1
C;BIL234505/BIL;BERGAMOT NATURELLE - 1 - 0.5% SHOWER GEL;12061797;1
C;BIL234550/BIL;DARK GRAPE MUSCAT - 1 - 0.6% SHAMPOO;12061600;1
C;BIL234595G/BIL;C/T FLOWER - 6 - 0.5% SHAMPOO;12061586G;1
C;BIL235142G/BIL;SAUVAGE - C8 - 1.5% DEO;12062785G;1
C;BIL245582K/BIL;CALABRE - E10 - 0.1% CREAM;12062962K;1
C;BIL245582K/BIL;CALABRE - E10 - 0.1% CREAM;12062962K;1
C;BLE108644B/BLE;LB-1355B;12043374B;1
C;BPM017208BF/BPM;DELICIOUS 0.6% CB3933;12038410BF;1
C;BPM017208GT/BPM;DELICIOUS 0.8%;12038410GT;1
C;BPM019881AY/BPM;NARCISSUS  LOREAL SHAMPOO0.5%FT 97C;12040535AY;1
C;BPM019881DQ/BPM;NARCISSUS  LOREAL 0.8%BASE PANTHENE;12040535DQ;1
C;BPM030774AV/BPM;J''''''''ADORE  0.7%;12055641AV;1
C;BPM031533/BPM;ESSENZA ACQUA DI GIO FOR MEN 10%WW;12058598;1
C;BPM031533A/BPM;ESSENZA ACQUA DI GIO FOR MEN 10%WW;12058598A;1
C;BPM031665/BPM;AQUA DI COLONIA NBGREE014W;12057792;1
C;BPM084631AJ/BPM;FLEURS D(ORANGER 0.25%FT332;12056593AJ;1
C;BPM084631L/BPM;FLEURS D(ORANGER EUFR08-013670.63% FT97C;12056593L;1
C;BPM086777C/BPM;COOL.W EUFR08-00118 LEGENDA 1% SAVON  RUSSIE;12056458C;1
C;BPM087190CE/BPM;DELICE  SHAMPOO WAVE 0.7%FT360A%;12046827CE;1
C;BPM088692AI/BPM;ICE DIVE /H&S  0.4%SHVERSION AB+;12057081AI;1
C;BPM088692AS/BPM;ICE DIVE /H&S  0.7%;12057081AS;1
